full_name,license_number,region,country,top_clients,verified_status,total_clients,success_rate,avg_contract_value,best_negotiated_contract,preferred_contract_terms,contact_email,phone_number,profile_rating,years_experience,languages_spoken,specialization,last_contract_date,agency_affiliation
Carol Moss,FA443597FC,Central Africa,Chad,"Frank Kessié, Karl Toko Ekambi, Mbwana Samatta, Victor Osimhen",False,63,89.45,3126484.75,"EUR 11,352,095.19 - Mbwana Samatta",Signing-on Fee Included,carol.moss@davis.com,+235319434164,3.6,29,"French, English, Swahili","International Transfers, Player Marketing, Youth Development",2024-11-30,"Keller, Marshall and Lee"
Crystal Boyd,FA362570F4,Southern Africa,Lesotho,"Mohamed Salah, Percy Tau, Yassine Bounou",False,94,87.17,5079654.56,"EUR 6,297,141.01 - Ali Maâloul",Renewal Option at Club’s Discretion,crystal.boyd@mathews.net,+266810898295,3.86,20,"Spanish, Portuguese, Arabic","Career Development, Contract Negotiation, Talent Scouting",2024-10-19,Rodriguez-Thompson
Dominic Jackson,FA648F8B57,Central Africa,Equatorial Guinea,"Inaki Williams, Achraf Hakimi",True,25,86.63,10811388.56,"EUR 16,828,421.52 - Michael Olunga",Loyalty Bonus Included,dominic.jackson@romero.biz,+240930749577,4.86,29,"French, Spanish, Portuguese","Career Development, Talent Scouting, Contract Negotiation",2024-12-19,Rivera LLC
Tricia Williams,FA3C23CB18,North Africa,Morocco,"Aymen Balbouli, Thomas Partey",True,55,64.33,4766364.97,"EUR 9,710,588.67 - Wahbi Khazri",Long-term Development Focus,tricia.williams@huang-roberts.com,+212174000999,4.05,23,"Swahili, English, French","Youth Development, Contract Negotiation",2024-12-25,"Gonzalez, Hunter and Johnson"
Eric Melton,FA4E610732,North Africa,Tunisia,"Édouard Mendy, Samuel Chukwueze, Michael Olunga",True,29,68.92,819136.01,"EUR 14,572,732.90 - Seifeddine Jaziri",No-trade Clause,eric.melton@martin.com,+216138689065,4.35,18,"French, Arabic","Youth Development, Career Development, Player Marketing",2024-08-06,"Malone, Davis and Conley"
David Bonilla,FA70F6738B,North Africa,Sudan,"Riyad Mahrez, Yassine Bounou, Achraf Hakimi, Mohamed Salah",True,62,63.28,13033058.28,"EUR 16,794,861.16 - Michael Olunga",Endorsement Deal Integration,david.bonilla@thornton.com,+249255780755,3.78,1,"Arabic, Swahili, English, Portuguese","Career Development, Talent Scouting",2024-10-27,Johnson-Ho
Kelly Morales,FA1CBF7C87,Southern Africa,Lesotho,"Karl Toko Ekambi, Samuel Chukwueze",False,10,79.89,1269363.54,"EUR 18,712,807.47 - Aymen Dahmen",Sponsorship-linked Earnings,kelly.morales@russo.info,+266288648921,3.9,28,"Swahili, Arabic, English","Player Marketing, Contract Negotiation",2025-01-13,Sanchez-Rodriguez
Elizabeth Clark,FA70515F92,East Africa,Rwanda,"Percy Tau, Michael Olunga, Anis Ben Slimane, Samuel Chukwueze",True,9,86.7,6717569.02,"EUR 8,707,809.71 - Patson Daka",Sponsorship-linked Earnings,elizabeth.clark@love.info,+250792197305,4.0,15,"Swahili, Arabic, English","International Transfers, Contract Negotiation",2024-08-23,Steele-Ramsey
Andrea Banks,FA046773AD,East Africa,Malawi,"Mohamed Salah, Samuel Chukwueze, Wahbi Khazri, Victor Osimhen",True,37,63.36,8886878.24,"EUR 17,917,681.13 - Ali Maâloul",Market Value Dependent,andrea.banks@brewer-campos.com,+265001931392,4.12,5,"Spanish, Portuguese, English","Youth Development, International Transfers",2025-01-15,"Welch, Bender and Hudson"
Timothy Carrillo,FA63F74FAE,North Africa,Algeria,"Édouard Mendy, Vincent Aboubakar",True,48,82.53,8250873.06,"EUR 22,275,814.01 - Thomas Partey",Experience-based Scaling,timothy.carrillo@roth.com,+213416390311,4.9,27,"French, Swahili, Portuguese, English","Contract Negotiation, Youth Development, Career Development",2024-07-06,"Ray, Hernandez and Adams"
Wendy Rogers,FACC4C36A9,East Africa,Burundi,"Achraf Hakimi, Yassine Bounou, Inaki Williams",True,31,91.78,5081466.61,"EUR 19,236,920.27 - Vincent Aboubakar",Medical & Injury Coverage,wendy.rogers@le-davis.net,+257872840822,4.02,15,"Arabic, Swahili, English, French","Contract Negotiation, International Transfers",2025-02-23,"Escobar, Turner and Norman"
Rodney Patel,FA95DB2345,Southern Africa,Namibia,"Seifeddine Jaziri, Thomas Partey",True,15,83.2,13906447.57,"EUR 16,434,660.66 - Wahbi Khazri",High Base + Short Duration,rodney.patel@powers.com,+264625517017,4.45,27,"French, Spanish, Portuguese","Player Marketing, Contract Negotiation",2024-12-03,Chapman-Richards
Stephen Johnson,FA6EFA20CA,Central Africa,Sao Tome and Principe,"Achraf Hakimi, Aymen Balbouli, Seifeddine Jaziri",False,95,89.4,5682954.51,"EUR 11,990,458.29 - Yassine Bounou",Championship Clause Activation,stephen.johnson@king.com,+000245486446,4.96,1,"English, French, Swahili","Youth Development, International Transfers",2024-10-07,King LLC
Nancy Miles,FA7DE97350,Central Africa,Equatorial Guinea,"Wilfried Zaha, Riyad Mahrez, Aymen Balbouli",True,80,94.96,7949088.92,"EUR 19,513,180.72 - Karl Toko Ekambi",Renewal Option at Club’s Discretion,nancy.miles@henderson.com,+240343242327,3.51,18,"French, Portuguese","Career Development, Contract Negotiation, Talent Scouting",2024-10-29,"Lam, Gonzalez and Romero"
Eric Flores,FA4AE4D050,Central Africa,Chad,"Aymen Balbouli, Vincent Aboubakar, Aymen Dahmen",False,29,74.41,8671693.64,"EUR 19,783,065.50 - Vincent Aboubakar",Endorsement Deal Integration,eric.flores@sanchez-carter.com,+235978772101,4.25,17,"Portuguese, Spanish, Arabic, French","International Transfers, Career Development",2024-07-05,"Fleming, Wood and Leon"
Anthony Wilkins,FA957CD643,East Africa,Malawi,"Youssef Msakni, Victor Osimhen",False,76,93.98,6697133.49,"EUR 17,684,546.29 - Chancel Mbemba",Appearance-based Bonuses,anthony.wilkins@snyder-fox.com,+265758272107,4.12,25,"French, Swahili","International Transfers, Youth Development, Player Marketing",2024-10-04,Gutierrez-Brennan
Kimberly Price,FA75AEB719,North Africa,Western Sahara,"Victor Osimhen, Yassine Bounou, Thomas Partey, Percy Tau",False,27,61.28,5385157.61,"EUR 6,240,074.84 - Achraf Hakimi",Long-term Development Focus,kimberly.price@clark.com,+000034371006,4.85,4,"Swahili, English, French","Talent Scouting, Player Marketing",2024-11-24,Zhang-Pruitt
Terri Rodriguez,FA4E622973,East Africa,Ethiopia,"Ali Maâloul, Percy Tau, Aymen Balbouli",False,25,69.07,9675837.21,"EUR 12,788,964.56 - Yassine Bounou",Sponsorship-linked Earnings,terri.rodriguez@woodward.biz,+251491692627,4.04,17,"Portuguese, French, Arabic, English","Player Marketing, Youth Development, Career Development",2024-11-14,Perez Inc
Amber Smith,FA2D895990,Central Africa,Equatorial Guinea,"Wahbi Khazri, Wilfried Zaha",False,52,72.92,2110907.59,"EUR 8,625,209.80 - Thomas Partey",Revenue-sharing from Transfers,amber.smith@white-ramirez.com,+240998438834,4.66,1,"Arabic, Spanish","Youth Development, Talent Scouting, Player Marketing",2024-08-29,Porter Ltd
Tammie Bradshaw,FA95F98FBC,North Africa,Algeria,"Kalidou Koulibaly, Inaki Williams, Chancel Mbemba",False,33,76.1,3136474.5,"EUR 3,865,583.38 - Aymen Dahmen",Championship Clause Activation,tammie.bradshaw@smith.net,+213490213201,4.04,15,"English, Arabic","Youth Development, Talent Scouting",2024-08-17,Fuller Ltd
Michael Butler,FAE3B6364A,North Africa,Egypt,"Mbwana Samatta, Achraf Hakimi, Seifeddine Jaziri, Edmond Tapsoba",True,95,85.63,6522840.8,"EUR 19,259,730.63 - Kalidou Koulibaly",Experience-based Scaling,michael.butler@curtis.com,+20207529626,4.87,13,"French, Swahili","Career Development, Contract Negotiation",2024-09-08,Lopez Group
Kevin Shepard,FABADE1DBB,North Africa,Morocco,"Kalidou Koulibaly, Aymen Dahmen",False,86,80.02,7812996.72,"EUR 16,185,039.00 - André Onana",Market Value Dependent,kevin.shepard@rodriguez.com,+212133572019,4.9,2,"English, Arabic, Spanish","Talent Scouting, International Transfers",2024-10-03,"Cannon, Cook and Johnson"
Brittney Ingram,FA5110E582,West Africa,Guinea-Bissau,"Achraf Hakimi, Yassine Bounou, Edmond Tapsoba, Patson Daka",False,98,64.14,7675117.46,"EUR 17,179,079.34 - Inaki Williams",Experience-based Scaling,brittney.ingram@carter.com,+245847712466,4.75,22,"Spanish, English","International Transfers, Player Marketing",2024-04-24,Mcdaniel Ltd
David Acosta,FAB657DC23,East Africa,Somalia,"Seifeddine Jaziri, Riyad Mahrez",True,6,96.48,11263405.1,"EUR 14,939,157.74 - Edmond Tapsoba",Market Value Dependent,david.acosta@sanchez-matthews.com,+252318831262,4.83,22,"Portuguese, English, Arabic","Talent Scouting, Career Development",2024-12-11,"Rodriguez, Bryant and Miller"
Christina Johnson,FA2EC44F6B,West Africa,Mauritania,"Wahbi Khazri, Percy Tau",True,20,91.02,6278275.52,"EUR 8,885,609.38 - Mohamed Salah",Youth Development Oriented,christina.johnson@robbins-gilbert.com,+222906313535,3.57,25,"English, Portuguese, Swahili","Career Development, Talent Scouting",2024-10-25,Miller-Blair
Beth Johnston,FA3C83A7FB,East Africa,Madagascar,"Achraf Hakimi, Chancel Mbemba, Thomas Partey",False,85,71.84,1228414.04,"EUR 2,301,334.49 - Victor Osimhen",Experience-based Scaling,beth.johnston@richardson.net,+261391519945,3.57,30,"Portuguese, Swahili, Spanish, French","International Transfers, Career Development, Player Marketing",2024-12-23,Howell-Wyatt
Carlos Levine,FA0458E86C,Central Africa,Chad,"Mbwana Samatta, Anis Ben Slimane, Wilfried Zaha",False,72,87.03,9159312.65,"EUR 21,697,770.09 - Kalidou Koulibaly",Incentive-driven Performance,carlos.levine@arnold.com,+235328314313,4.32,1,"Swahili, English, French, Portuguese","Player Marketing, Contract Negotiation, Talent Scouting",2024-03-11,"Burnett, Wilkins and Parker"
Tonya Fuller,FA2B69DD0C,Southern Africa,Lesotho,"Samuel Chukwueze, Chancel Mbemba, Percy Tau, Sadio Mané",True,88,93.31,13733546.39,"EUR 20,151,748.15 - André Onana",Medical & Injury Coverage,tonya.fuller@fitzgerald-reynolds.com,+266998919269,4.37,30,"Portuguese, Spanish, Arabic, English","Youth Development, Contract Negotiation, Player Marketing",2024-11-15,"Parker, Adams and Duncan"
Amanda Franklin,FA5F64C420,North Africa,Egypt,"Edmond Tapsoba, Ali Maâloul",False,72,68.31,2511749.79,"EUR 15,954,289.23 - Mbwana Samatta",Incentive-driven Performance,amanda.franklin@jones-hernandez.com,+20391403727,4.92,28,"French, English","Talent Scouting, Player Marketing",2024-08-16,"Miller, Erickson and Turner"
Patrick Bennett,FAF20197D9,West Africa,Guinea-Bissau,"Mohamed Salah, Michael Olunga, Wahbi Khazri, Chancel Mbemba",False,29,84.68,11786742.56,"EUR 22,150,770.59 - Sadio Mané",Appearance-based Bonuses,patrick.bennett@bell.com,+245748795999,3.79,13,"French, Spanish, Arabic","Youth Development, Talent Scouting, Player Marketing",2024-03-11,"Matthews, Brown and Warren"
Kathleen Henderson,FA9CCF0BAC,Central Africa,Democratic Republic of the Congo,"Yassine Bounou, Seifeddine Jaziri, Mohamed Salah",True,82,82.06,9956887.34,"EUR 11,390,540.94 - Aymen Dahmen",High Base + Short Duration,kathleen.henderson@paul.com,+243946523040,4.15,29,"Spanish, French, Swahili, Arabic","Talent Scouting, Contract Negotiation, Career Development",2024-07-29,Leach and Sons
Amy Lewis,FADFDA69FD,Central Africa,Angola,"Frank Kessié, Seifeddine Jaziri, Chancel Mbemba, Vincent Aboubakar",False,100,78.7,14178650.7,"EUR 16,909,681.91 - Patson Daka",Loyalty Bonus Included,amy.lewis@allison.info,+244338066626,4.25,9,"English, Spanish","Talent Scouting, International Transfers, Youth Development",2024-05-09,May PLC
Allen Dominguez,FA992CF394,East Africa,Kenya,"Achraf Hakimi, Aymen Balbouli",True,29,63.61,6002118.09,"EUR 21,268,878.82 - Chancel Mbemba",No-trade Clause,allen.dominguez@kim-mckinney.com,+254470253804,4.59,3,"Spanish, Swahili, Portuguese, English","Career Development, Player Marketing, Contract Negotiation",2024-05-06,Greene Inc
Andrew Harris,FAD3FCF65F,Southern Africa,Botswana,"Anis Ben Slimane, Ali Maâloul, Victor Osimhen",True,55,83.91,14797113.74,"EUR 19,510,185.74 - Patson Daka",Youth Development Oriented,andrew.harris@owen.com,+267630829341,4.14,6,"Arabic, Portuguese, English","International Transfers, Contract Negotiation",2024-03-13,"Haynes, King and Reed"
Laura Taylor,FABEFCDD9D,East Africa,Comoros,"Vincent Aboubakar, Youssef Msakni",True,33,62.64,9059258.49,"EUR 12,630,066.59 - Frank Kessié",Youth Development Oriented,laura.taylor@gutierrez.com,+269777837888,3.82,4,"Swahili, Portuguese","International Transfers, Contract Negotiation",2024-04-26,"Williams, Hall and Stark"
Bryan Washington,FA3F50B0D4,Southern Africa,Eswatini (Swaziland),"Patson Daka, Youssef Msakni",False,6,85.27,784219.47,"EUR 8,589,702.01 - Anis Ben Slimane",Youth Development Oriented,bryan.washington@terry-hayes.com,+268915463634,4.12,7,"Spanish, Portuguese","Talent Scouting, International Transfers",2024-11-25,Schmitt and Sons
Wanda Casey,FA43D87658,Southern Africa,South Africa,"Riyad Mahrez, Victor Osimhen",False,6,74.96,9586536.22,"EUR 18,106,114.76 - Édouard Mendy",Relegation Release Clause,wanda.casey@stanley-bartlett.com,+27061455698,3.53,28,"French, Arabic, Swahili, Spanish","Career Development, International Transfers",2024-04-20,Peters-Andrews
Keith Finley,FA6D02D697,East Africa,Mauritius,"Chancel Mbemba, Percy Tau, Frank Kessié",False,73,70.19,12931496.29,"EUR 21,336,297.06 - Wahbi Khazri",Long-term Development Focus,keith.finley@ryan.com,+230865036307,4.79,25,"Spanish, English, Portuguese, French","Player Marketing, Talent Scouting, Youth Development",2024-12-26,Patrick-Jones
Jaime Robinson,FAA81F8FC2,West Africa,Cape Verde,"Frank Kessié, Karl Toko Ekambi",False,71,65.59,1732811.47,"EUR 16,906,386.64 - Kalidou Koulibaly",Medical & Injury Coverage,jaime.robinson@sawyer.com,+238245631193,4.02,24,"English, Swahili, Arabic, Spanish","Player Marketing, Talent Scouting, Youth Development",2024-04-11,Lee Group
Scott Garcia,FA3545E0FD,Central Africa,Equatorial Guinea,"Percy Tau, Edmond Tapsoba",False,81,82.39,14823763.99,"EUR 22,020,868.35 - Patson Daka",Renewal Option at Club’s Discretion,scott.garcia@maxwell.com,+240040216852,4.92,4,"Swahili, English, Arabic, French","International Transfers, Youth Development, Talent Scouting",2024-05-31,"Collins, Townsend and Hood"
Michael King,FAEED299FC,West Africa,Sierra Leone,"Wilfried Zaha, Youssef Msakni",True,86,94.34,14059694.51,"EUR 21,587,290.36 - Mohamed Salah",Buyout Clause Protection,michael.king@robles.org,+232180504122,4.75,9,"Swahili, Spanish","Talent Scouting, Career Development",2025-03-09,Brown Ltd
Robert Harris,FAFB806796,West Africa,Senegal,"Mbwana Samatta, Youssef Msakni, Patson Daka, Edmond Tapsoba",True,20,89.57,10809748.4,"EUR 19,117,283.96 - Seifeddine Jaziri",High Base + Short Duration,robert.harris@travis-grant.net,+221100558765,4.28,29,"English, Spanish","Contract Negotiation, Player Marketing",2024-09-30,Bauer LLC
Mariah Bernard,FAFF7F9CB7,North Africa,Sudan,"Vincent Aboubakar, Samuel Chukwueze, Victor Osimhen, Thomas Partey",False,58,80.66,8575743.08,"EUR 14,841,842.14 - Mohamed Salah",Experience-based Scaling,mariah.bernard@patrick-hall.com,+249300824864,4.09,25,"Portuguese, English","Player Marketing, Contract Negotiation, Career Development",2024-04-14,"Luna, Estrada and Williamson"
Michelle Cunningham,FABC0CA858,West Africa,Sierra Leone,"Mbwana Samatta, Aymen Dahmen",True,21,89.99,13128980.26,"EUR 15,250,290.88 - André Onana",Signing-on Fee Included,michelle.cunningham@hurst-luna.org,+232330373393,4.63,11,"French, Arabic, English, Portuguese","Contract Negotiation, International Transfers",2024-08-31,Bernard-Bell
Leslie Torres,FAE3ED1D6B,Southern Africa,Namibia,"Riyad Mahrez, Inaki Williams, Vincent Aboubakar",True,75,86.89,13413382.06,"EUR 18,614,043.72 - Achraf Hakimi",Sponsorship-linked Earnings,leslie.torres@jensen-drake.info,+264766940670,4.59,24,"French, Portuguese, English","Contract Negotiation, Career Development",2024-03-11,Mclean LLC
Russell Contreras,FAA9A87D86,East Africa,Madagascar,"Seifeddine Jaziri, Anis Ben Slimane",False,64,85.9,2909392.21,"EUR 16,100,793.69 - Frank Kessié",Sponsorship-linked Earnings,russell.contreras@martinez.net,+261169611862,4.02,21,"English, Spanish","International Transfers, Contract Negotiation",2024-11-25,Evans-Jackson
David Woods,FA37D11409,East Africa,Comoros,"André Onana, Aymen Balbouli, Victor Osimhen",True,67,61.03,12586140.3,"EUR 20,336,290.83 - Samuel Chukwueze",Buyout Clause Protection,david.woods@nichols.com,+269115062371,4.62,28,"French, English, Swahili, Arabic","Youth Development, Talent Scouting",2024-09-30,"Glenn, Bennett and Wright"
Michelle Singh,FA0A401681,West Africa,Ivory Coast,"Chancel Mbemba, Inaki Williams, Edmond Tapsoba",True,34,65.6,5898471.75,"EUR 18,218,250.51 - Thomas Partey",Balanced Terms with Bonuses,michelle.singh@smith.com,+225706178214,4.51,1,"Spanish, Swahili","Career Development, Player Marketing, International Transfers",2024-10-05,Hanson-Fitzgerald
Emily Smith,FA2BC1103B,West Africa,Togo,"Frank Kessié, Percy Tau, Patson Daka, Karl Toko Ekambi",True,63,88.19,11594046.85,"EUR 20,043,493.50 - Riyad Mahrez",Revenue-sharing from Transfers,emily.smith@whitney.com,+228723856514,3.73,18,"Arabic, French, English","Youth Development, International Transfers, Talent Scouting",2025-01-19,Wright-Powers
Melissa Bailey,FAE8CC4C37,Southern Africa,Botswana,"Aymen Balbouli, Seifeddine Jaziri",False,93,97.87,3884033.68,"EUR 5,641,997.94 - Anis Ben Slimane",Signing-on Fee Included,melissa.bailey@reese.info,+267504084701,4.75,10,"Spanish, English, French, Swahili","Youth Development, Career Development",2024-10-21,Price Group
Barbara Hardy,FA3B63A2DD,Southern Africa,South Africa,"Yassine Bounou, Samuel Chukwueze, Inaki Williams, Patson Daka",False,39,62.27,2154860.15,"EUR 5,757,984.90 - Karl Toko Ekambi",Incentive-driven Performance,barbara.hardy@massey-carter.org,+27835478405,3.65,23,"Arabic, Spanish, Portuguese, Swahili","International Transfers, Contract Negotiation",2025-02-13,Parks Inc
Jaime Jackson,FA7E00B8E9,Central Africa,Cameroon,"Samuel Chukwueze, Wilfried Zaha, Frank Kessié",False,21,90.49,12422258.8,"EUR 13,378,566.50 - Seifeddine Jaziri",Performance-based + Image Rights,jaime.jackson@ford.com,+237531760450,4.01,30,"Swahili, Arabic, French","Talent Scouting, Player Marketing, International Transfers",2024-06-11,Grant LLC
Joel Armstrong,FAECB27FB5,Southern Africa,South Africa,"Sadio Mané, Edmond Tapsoba, Achraf Hakimi, Riyad Mahrez",True,15,77.02,14158867.2,"EUR 15,686,926.95 - Aymen Balbouli",Incentive-driven Performance,joel.armstrong@rivera-bean.net,+27474438467,4.53,3,"English, Spanish, French, Swahili","Career Development, Player Marketing",2025-01-08,"Long, Davis and Lewis"
Jessica Zamora,FAC651C072,East Africa,Seychelles,"Michael Olunga, Aymen Dahmen",True,85,76.45,2394527.74,"EUR 13,590,462.79 - André Onana",Endorsement Deal Integration,jessica.zamora@alvarez.biz,+248125905859,3.86,30,"English, Swahili, Arabic, Portuguese","Player Marketing, Career Development, Talent Scouting",2024-10-11,"Jackson, Henderson and Bryan"
Johnny Smith,FA645FA0F1,East Africa,Seychelles,"Ali Maâloul, Frank Kessié, Thomas Partey, Anis Ben Slimane",False,90,92.3,9766208.61,"EUR 22,141,078.55 - Seifeddine Jaziri",Performance-based + Image Rights,johnny.smith@lutz-kelly.com,+248824271862,4.79,3,"Portuguese, Swahili, Arabic","Youth Development, International Transfers, Career Development",2024-04-13,"Hernandez, Reyes and Green"
Jared Oconnor,FA1DAEBE19,West Africa,Mauritania,"Seifeddine Jaziri, Youssef Msakni, Kalidou Koulibaly, Aymen Dahmen",False,8,83.68,1460208.41,"EUR 20,161,967.28 - Sadio Mané",Endorsement Deal Integration,jared.oconnor@harrison-lane.com,+222306235203,3.61,11,"Portuguese, English, Spanish, Swahili","Career Development, Talent Scouting, Contract Negotiation",2024-03-21,Anderson Ltd
Kyle Robertson,FAF698683B,East Africa,Madagascar,"Edmond Tapsoba, Édouard Mendy, Michael Olunga, Chancel Mbemba",False,36,82.43,3605255.09,"EUR 4,726,602.75 - Sadio Mané",Market Value Dependent,kyle.robertson@norton.info,+261608189788,3.58,12,"Arabic, Portuguese","Player Marketing, Youth Development",2024-06-21,Hernandez-Hoffman
Jason Reyes,FAA25971FF,Southern Africa,South Africa,"Riyad Mahrez, Inaki Williams",False,59,82.65,12984970.0,"EUR 13,794,188.17 - Seifeddine Jaziri",Loyalty Bonus Included,jason.reyes@williams-gonzalez.com,+27578870615,4.86,6,"Swahili, Spanish, English","Player Marketing, International Transfers",2024-10-23,Thompson and Sons
Jessica Lane,FA939E783E,Southern Africa,Eswatini (Swaziland),"Anis Ben Slimane, Patson Daka",True,8,68.06,8843274.7,"EUR 15,779,524.86 - Chancel Mbemba",No-trade Clause,jessica.lane@jackson.info,+268329127556,3.7,19,"Arabic, French","Player Marketing, Talent Scouting, Career Development",2024-09-02,Villanueva-Murphy
Cassandra Lowe,FAA80DCF57,West Africa,Liberia,"Karl Toko Ekambi, Kalidou Koulibaly, Thomas Partey, Inaki Williams",False,94,65.94,13825287.21,"EUR 17,706,654.90 - Vincent Aboubakar",Incentive-driven Performance,cassandra.lowe@travis.org,+231270566736,3.81,23,"French, Arabic","Youth Development, Talent Scouting, Career Development",2024-08-15,"Miller, Little and Newman"
Emily Chambers,FA410E9B8D,Central Africa,Equatorial Guinea,"Riyad Mahrez, Mbwana Samatta",True,52,84.26,6130465.47,"EUR 7,510,841.45 - Chancel Mbemba",Buyout Clause Protection,emily.chambers@shaw.com,+240234253743,4.67,26,"Portuguese, English, Swahili, Spanish","Contract Negotiation, Career Development, International Transfers",2025-02-15,"Briggs, Martinez and Garcia"
Matthew Branch,FA9C3EFD11,Southern Africa,Lesotho,"Mbwana Samatta, Karl Toko Ekambi, Inaki Williams, Patson Daka",True,98,79.17,12905091.97,"EUR 21,986,001.01 - Riyad Mahrez",Endorsement Deal Integration,matthew.branch@norris.net,+266774592374,4.79,29,"English, Swahili","International Transfers, Talent Scouting",2025-01-25,Fox PLC
Sean Levine,FAC7985BE1,North Africa,Algeria,"André Onana, Kalidou Koulibaly, Anis Ben Slimane",True,34,80.81,4232242.56,"EUR 15,333,728.26 - Yassine Bounou",Market Value Dependent,sean.levine@johnson-brown.com,+213400834006,4.52,18,"Spanish, French, English, Portuguese","International Transfers, Player Marketing, Contract Negotiation",2025-01-24,"Adkins, Rodriguez and Mclaughlin"
Bryan Marks,FA0586FF0C,North Africa,Tunisia,"Édouard Mendy, Patson Daka",False,53,63.81,14367649.49,"EUR 14,689,175.66 - Mohamed Salah",Revenue-sharing from Transfers,bryan.marks@thompson.com,+216737798895,4.0,20,"Swahili, Portuguese, English","Career Development, Talent Scouting, Youth Development",2024-12-21,Harrison-Barton
Don Lin,FA9ED24EB8,Central Africa,Cameroon,"Michael Olunga, Victor Osimhen",True,62,80.27,959288.85,"EUR 7,675,203.86 - Mbwana Samatta",No-trade Clause,don.lin@choi.info,+237762029926,4.97,30,"Arabic, Portuguese, Spanish","Youth Development, Career Development",2025-02-09,Harding Ltd
