player_id,full_name,email,date_of_birth,age,nationality,position,secondary_position,club,league,market_value_eur,salary_expectation,contract_status,fitness_level,medical_history,last_5_match_performance,skills_rating,weaknesses,goals,assists,preferred_foot,verified_status,likes_from_pros,scouting_score,tactic_fit_score,career_path_suggestions,training_recommendations,profile_rating,created_at,yellow_cards,red_cards,matches_suspended,last_incident_date
26,Cédric Ondo,cédric.ondo@football.com,2003-05-25,21,congo,forward,midfielder,Diables Noirs,Nigeria Professional Football League,3000000.0,300000.0,Under Contract,91.6,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 1, 'assists': 2}, 'match_3': {'goals': 0, 'assists': 2}, 'match_4': {'goals': 0, 'assists': 1}, 'match_5': {'goals': 0, 'assists': 0}}","{'finishing': 72, 'dribbling': 73, 'speed': 70}",,16.0,3.0,left,True,482,57.78,89.05,Move to a top European league,Work on finishing and speed,78.68,2025-03-09 18:00:00,1.0,3.0,6.0,2025-02-01
27,Mohamed Salem,mohamed.salem@football.com,2003-07-26,21,egypt,forward,midfielder,Pharco,Nigeria Professional Football League,500000.0,50000.0,Under Contract,72.55,No recent injuries,"{'match_1': {'goals': 2, 'assists': 0}, 'match_2': {'goals': 1, 'assists': 1}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 2, 'assists': 2}, 'match_5': {'goals': 1, 'assists': 2}}","{'finishing': 73, 'dribbling': 75, 'speed': 69}",,17.0,20.0,right,False,454,54.56,79.05,Move to a top European league,Work on finishing and speed,74.09,2025-03-09 18:00:00,5.0,1.0,2.0,2025-02-01
28,Thabo Nodada,thabo.nodada@football.com,2003-10-10,21,south africa,midfielder,forward,Cape Town City,Nigeria Professional Football League,500000.0,50000.0,Under Contract,73.2,Major injury: Out for season,"{'match_1': {'goals': 0, 'assists': 1}, 'match_2': {'goals': 2, 'assists': 1}, 'match_3': {'goals': 0, 'assists': 2}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 1, 'assists': 1}}","{'passing': 79, 'dribbling': 75, 'vision': 93}",,20.0,18.0,right,True,450,54.09,60.56,Move to a top European league,Enhance passing and stamina,73.42,2025-03-09 18:00:00,9.0,2.0,4.0,2025-02-01
29,Stanley Ratifo,stanley.ratifo@football.com,2004-01-29,21,mozambique,midfielder,forward,Ferroviário de Maputo,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,73.82,No recent injuries,"{'match_1': {'goals': 1, 'assists': 2}, 'match_2': {'goals': 2, 'assists': 1}, 'match_3': {'goals': 2, 'assists': 2}, 'match_4': {'goals': 1, 'assists': 0}, 'match_5': {'goals': 2, 'assists': 2}}","{'passing': 75, 'dribbling': 73, 'vision': 87}",,14.0,18.0,left,True,455,54.66,60.52,Move to a top European league,Enhance passing and stamina,74.23,2025-03-09 18:00:00,2.0,1.0,2.0,2025-02-01
30,Cheick Doumbia,cheick.doumbia@football.com,2004-01-31,21,mali,forward,midfielder,African Academy Élites,Nigeria Professional Football League,3000000.0,300000.0,Under Contract,97.13,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 1}, 'match_3': {'goals': 0, 'assists': 1}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 1, 'assists': 1}}","{'finishing': 77, 'dribbling': 85, 'speed': 97}",,25.0,20.0,right,True,477,57.11,86.45,Move to a top European league,Work on finishing and speed,77.73,2025-03-09 18:00:00,3.0,2.0,4.0,2025-02-01
31,Abba Bala,abba.bala@football.com,2004-07-11,20,nigeria,midfielder,forward,Gombe United,Nigeria Professional Football League,3000000.0,300000.0,Under Contract,85.78,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 2}, 'match_3': {'goals': 0, 'assists': 1}, 'match_4': {'goals': 2, 'assists': 1}, 'match_5': {'goals': 2, 'assists': 2}}","{'passing': 66, 'dribbling': 93, 'vision': 66}",,9.0,7.0,right,True,467,56.28,93.89,Move to a top European league,Enhance passing and stamina,76.11,2025-03-09 18:00:00,1.0,1.0,2.0,2025-02-01
32,Mwila Phiri,mwila.phiri@football.com,2004-09-28,20,zambia,midfielder,forward,ZESCO United,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,93.75,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 1, 'assists': 2}, 'match_2': {'goals': 1, 'assists': 0}, 'match_3': {'goals': 2, 'assists': 1}, 'match_4': {'goals': 2, 'assists': 1}, 'match_5': {'goals': 0, 'assists': 0}}","{'passing': 92, 'dribbling': 94, 'vision': 98}",,3.0,20.0,right,True,525,62.93,91.41,Move to a top European league,Enhance passing and stamina,85.62,2025-03-09 18:00:00,6.0,2.0,4.0,2025-02-01
33,Steven Mukwala,steven.mukwala@football.com,2005-08-07,19,uganda,midfielder,forward,SC Villa,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,73.46,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 2, 'assists': 2}, 'match_2': {'goals': 1, 'assists': 1}, 'match_3': {'goals': 2, 'assists': 1}, 'match_4': {'goals': 1, 'assists': 1}, 'match_5': {'goals': 2, 'assists': 0}}","{'passing': 80, 'dribbling': 87, 'vision': 91}",,8.0,3.0,right,False,377,46.34,72.42,Move to a top European league,Enhance passing and stamina,61.48,2025-03-09 18:00:00,6.0,1.0,2.0,2025-02-01
34,Usman Ibrahim,usman.ibrahim@football.com,2005-11-15,19,nigeria,midfielder,forward,Calvary FC,Nigeria Professional Football League,1500000.0,150000.0,Under Contract,97.83,No recent injuries,"{'match_1': {'goals': 0, 'assists': 1}, 'match_2': {'goals': 2, 'assists': 1}, 'match_3': {'goals': 0, 'assists': 1}, 'match_4': {'goals': 0, 'assists': 2}, 'match_5': {'goals': 1, 'assists': 2}}","{'passing': 75, 'dribbling': 69, 'vision': 82}",Weak passing,20.0,1.0,right,False,521,62.8,78.85,Move to a top European league,Enhance passing and stamina,85.0,2025-03-09 18:00:00,4.0,2.0,4.0,2025-02-01
35,Marco van Ginkel,marco.ginkel@football.com,2006-01-01,19,netherlands,midfielder,forward,Vitesse,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,94.63,No recent injuries,"{'match_1': {'goals': 1, 'assists': 1}, 'match_2': {'goals': 1, 'assists': 1}, 'match_3': {'goals': 1, 'assists': 2}, 'match_4': {'goals': 2, 'assists': 0}, 'match_5': {'goals': 1, 'assists': 0}}","{'passing': 74, 'dribbling': 65, 'vision': 92}",,3.0,20.0,right,True,523,63.02,69.37,Move to a top European league,Enhance passing and stamina,85.32,2025-03-09 18:00:00,4.0,2.0,4.0,2025-02-01
36,Amine Harit,amine.harit@football.com,2006-02-25,19,morocco,midfielder,forward,Mohammed VI Football Academy,Nigeria Professional Football League,3000000.0,300000.0,Under Contract,76.74,No recent injuries,"{'match_1': {'goals': 2, 'assists': 0}, 'match_2': {'goals': 2, 'assists': 1}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 1, 'assists': 2}}","{'passing': 98, 'dribbling': 71, 'vision': 95}",Weak passing,30.0,1.0,right,True,420,51.28,99.57,Move to a top European league,Enhance passing and stamina,68.55,2025-03-09 18:00:00,8.0,2.0,4.0,2025-02-01
37,Luvuyo Phewa,luvuyo.phewa@football.com,2006-04-25,18,south africa,midfielder,forward,Ubuntu Cape Town,Nigeria Professional Football League,500000.0,50000.0,Under Contract,96.23,No recent injuries,"{'match_1': {'goals': 2, 'assists': 1}, 'match_2': {'goals': 2, 'assists': 0}, 'match_3': {'goals': 1, 'assists': 2}, 'match_4': {'goals': 1, 'assists': 1}, 'match_5': {'goals': 2, 'assists': 2}}","{'passing': 90, 'dribbling': 69, 'vision': 93}",,2.0,2.0,left,True,453,55.32,70.42,Move to a top European league,Enhance passing and stamina,73.89,2025-03-09 18:00:00,2.0,0.0,0.0,
38,Lenny Nangis,lenny.nangis@football.com,2006-09-06,18,france,midfielder,forward,Nancy,Nigeria Professional Football League,500000.0,50000.0,Under Contract,77.9,No recent injuries,"{'match_1': {'goals': 1, 'assists': 1}, 'match_2': {'goals': 2, 'assists': 1}, 'match_3': {'goals': 2, 'assists': 1}, 'match_4': {'goals': 1, 'assists': 1}, 'match_5': {'goals': 2, 'assists': 0}}","{'passing': 69, 'dribbling': 70, 'vision': 73}",,23.0,3.0,right,True,448,54.81,76.65,Move to a top European league,Enhance passing and stamina,73.16,2025-03-09 18:00:00,4.0,1.0,2.0,2025-02-01
39,Meschak Elia,meschak.elia@football.com,2006-11-05,18,dr congo,forward,midfielder,Dauphine,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,76.16,No recent injuries,"{'match_1': {'goals': 2, 'assists': 1}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 1, 'assists': 2}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 2, 'assists': 2}}","{'finishing': 62, 'dribbling': 92, 'speed': 66}",,11.0,12.0,left,True,408,50.19,87.25,Move to a top European league,Work on finishing and speed,66.56,2025-03-09 18:00:00,1.0,1.0,2.0,2025-02-01
40,Gift Zulu,gift.zulu@football.com,2006-11-22,18,zambia,defender,midfielder,Kafue Celtic,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,77.93,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'tackling': 63, 'marking': 98, 'heading': 69}",,27.0,15.0,right,True,441,53.93,95.04,Move to a top European league,Improve tackling and positioning,71.9,2025-03-09 18:00:00,4.0,1.0,2.0,2025-02-01
41,Mahamat Adoum,mahamat.adoum@football.com,2006-12-17,18,chad,midfielder,forward,Guidars,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,97.3,No recent injuries,"{'match_1': {'goals': 0, 'assists': 2}, 'match_2': {'goals': 0, 'assists': 1}, 'match_3': {'goals': 2, 'assists': 0}, 'match_4': {'goals': 2, 'assists': 2}, 'match_5': {'goals': 0, 'assists': 1}}","{'passing': 74, 'dribbling': 75, 'vision': 97}",,4.0,19.0,right,False,376,46.53,62.06,Move to a top European league,Enhance passing and stamina,61.33,2025-03-09 18:00:00,8.0,1.0,2.0,2025-02-01
42,Jude Mboula,jude.mboula@football.com,2006-12-26,18,benin,midfielder,forward,Dynamo Abomey,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,97.47,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 0, 'assists': 2}, 'match_2': {'goals': 0, 'assists': 2}, 'match_3': {'goals': 0, 'assists': 1}, 'match_4': {'goals': 1, 'assists': 1}, 'match_5': {'goals': 1, 'assists': 0}}","{'passing': 63, 'dribbling': 63, 'vision': 95}",Weak passing,6.0,0.0,right,True,419,51.43,72.04,Move to a top European league,Enhance passing and stamina,68.33,2025-03-09 18:00:00,9.0,2.0,4.0,2025-02-01
