full_name,license_number,region,country,top_clients,verified_status,total_clients,success_rate,avg_contract_value,best_negotiated_contract,preferred_contract_terms,contact_email,phone_number,profile_rating,years_experience,languages_spoken,specialization,last_contract_date,agency_affiliation
Andrew Moore,FAFA21C677,Southern Africa,Eswatini (Swaziland),"Seifeddine Jaziri, Samuel Chukwueze",True,57,77.57,7475682.27,"€17,148,622.36 - Wilfried Zaha",Long-term Development Focus,andrew.moore@dunn.net,+268349303556,4.95,8,"Portuguese, French, Arabic, Spanish","Career Development, International Transfers, Talent Scouting",2024-08-29,Garcia PLC
Brandon Chang,FAA4CEB99E,West Africa,Guinea-Bissau,"Ali Maâloul, André Onana, Mohamed Salah, Édouard Mendy",True,15,89.86,8451554.69,"€21,141,383.47 - Aymen Balbouli",Relegation Release Clause,brandon.chang@booth.com,+245862155797,3.57,2,"Swahili, Arabic, Portuguese","Contract Negotiation, Youth Development, Career Development",2024-10-11,Goodman Ltd
Julia Williams,FA5EB7DF70,North Africa,Egypt,"Wilfried Zaha, Chancel Mbemba",True,92,90.81,6219473.62,"€22,322,785.10 - Percy Tau",Relegation Release Clause,julia.williams@carr-armstrong.com,+20995543633,3.87,8,"Portuguese, English, French","Talent Scouting, Career Development, Contract Negotiation",2024-08-26,"Cannon, Maldonado and Holland"
Lisa Miller,FA202FF01A,Central Africa,Republic of the Congo,"André Onana, Samuel Chukwueze, Inaki Williams",True,15,94.76,4408757.41,"€17,460,569.15 - Édouard Mendy",Incentive-driven Performance,lisa.miller@hall-kelly.org,+242024121278,3.58,13,"Swahili, English, Portuguese, Arabic","Contract Negotiation, Youth Development, Talent Scouting",2024-06-01,Smith-White
Heather Fisher,FAF9ADDB9C,Central Africa,Chad,"Frank Kessié, Aymen Dahmen, Seifeddine Jaziri",True,67,83.1,11668179.02,"€21,877,418.00 - Sadio Mané",Appearance-based Bonuses,heather.fisher@allen.info,+235805697917,4.43,23,"English, French","Player Marketing, Youth Development",2024-06-13,Trevino-Cain
Isaac Wood,FA08992C28,West Africa,Nigeria,"Victor Osimhen, Kalidou Koulibaly, Aymen Dahmen",False,23,96.29,14689043.23,"€19,088,839.92 - Anis Ben Slimane",Appearance-based Bonuses,isaac.wood@gardner.com,+234173514416,4.77,16,"Arabic, Portuguese, Swahili, English","Talent Scouting, Player Marketing",2025-01-18,"Martinez, Smith and Fuller"
Michael Long,FAF5036854,West Africa,Togo,"Kalidou Koulibaly, Percy Tau, Wahbi Khazri, Ali Maâloul",False,83,96.05,2622115.08,"€10,012,200.11 - Achraf Hakimi",Endorsement Deal Integration,michael.long@padilla.com,+228688703242,4.08,22,"Arabic, Swahili, Spanish","Talent Scouting, Contract Negotiation, International Transfers",2024-07-13,Anderson Inc
Charles Harris,FA3D0E8053,North Africa,Tunisia,"Vincent Aboubakar, Karl Toko Ekambi",True,44,87.82,11278809.16,"€13,414,743.15 - Édouard Mendy",Balanced Terms with Bonuses,charles.harris@campbell.com,+216165175690,4.35,30,"Swahili, French","Talent Scouting, Youth Development, International Transfers",2024-10-26,"Roberts, Miller and Rowe"
Troy Ross,FA7E73D2DF,East Africa,Zambia,"Édouard Mendy, Aymen Balbouli, Edmond Tapsoba, Ali Maâloul",False,17,84.34,14353014.38,"€14,828,102.13 - Mohamed Salah",Experience-based Scaling,troy.ross@castaneda-rodriguez.com,+260596135273,4.42,4,"Arabic, Spanish, English","Talent Scouting, Career Development",2024-07-11,"Rodriguez, Preston and Mcclure"
Edward Conley,FA45E8A531,West Africa,Mali,"Edmond Tapsoba, Mbwana Samatta, Ali Maâloul, Michael Olunga",False,99,68.99,9654513.84,"€21,064,218.96 - Karl Toko Ekambi",Long-term Development Focus,edward.conley@smith-mata.biz,+223354644039,4.35,14,"French, Swahili, English, Spanish","Youth Development, Career Development",2024-10-29,"George, Davis and Dawson"
Sarah Lee,FA34A89196,East Africa,Uganda,"Riyad Mahrez, Victor Osimhen, Mohamed Salah, Youssef Msakni",True,15,76.05,14712344.95,"€21,628,362.53 - Seifeddine Jaziri",Endorsement Deal Integration,sarah.lee@fischer.com,+256943201799,3.63,7,"English, Swahili, Portuguese, Spanish","Career Development, Talent Scouting",2024-12-10,Carter Inc
Caroline Woods,FAA1E4D255,Southern Africa,Lesotho,"Chancel Mbemba, Mohamed Salah, Édouard Mendy",True,12,97.42,4355113.52,"€8,805,374.39 - Mbwana Samatta",Relegation Release Clause,caroline.woods@carr.biz,+266214061065,3.65,10,"Spanish, English, Arabic","Player Marketing, Career Development",2024-08-16,Williamson Ltd
Karen Martinez,FA3B50028F,Central Africa,Democratic Republic of the Congo,"Mbwana Samatta, Victor Osimhen, André Onana, Aymen Balbouli",True,54,88.38,11291427.52,"€13,723,160.41 - Wahbi Khazri",Youth Development Oriented,karen.martinez@nelson.com,+243257188786,4.87,21,"English, Portuguese, French","Contract Negotiation, Youth Development, International Transfers",2024-06-15,Acosta-Lowe
Ruth Meyer,FA00E5AF8F,North Africa,Morocco,"Samuel Chukwueze, Ali Maâloul, Vincent Aboubakar",True,58,60.47,5380096.55,"€15,486,370.89 - André Onana",Loyalty Bonus Included,ruth.meyer@bell-booker.com,+212106897136,3.78,11,"Portuguese, Arabic, Spanish, French","Talent Scouting, Player Marketing",2025-01-21,"Vargas, Henderson and Schultz"
Cynthia Carroll,FA004A52BA,Southern Africa,Eswatini (Swaziland),"Frank Kessié, Inaki Williams, Anis Ben Slimane, Karl Toko Ekambi",False,66,96.76,11387733.27,"€19,359,282.08 - Achraf Hakimi",Appearance-based Bonuses,cynthia.carroll@myers.com,+268089057669,4.42,20,"Spanish, French, English, Arabic","International Transfers, Talent Scouting",2024-09-26,Vargas-Simpson
Christopher Howell,FA84D60939,West Africa,Ivory Coast,"Mohamed Salah, Sadio Mané, Victor Osimhen, Chancel Mbemba",False,37,95.39,2861774.74,"€6,075,346.65 - Percy Tau",Long-term Development Focus,christopher.howell@miller.com,+225979136974,4.18,25,"Swahili, Spanish, Portuguese, French","Contract Negotiation, International Transfers, Player Marketing",2024-12-09,"Cantu, Reilly and Ramirez"
Briana Wolf,FA6F0A9497,West Africa,Guinea,"Patson Daka, Victor Osimhen, Yassine Bounou, Percy Tau",False,39,79.75,6445959.16,"€10,215,134.32 - Aymen Balbouli",Championship Clause Activation,briana.wolf@dixon.com,+224160825419,4.57,5,"French, Portuguese, Swahili, Spanish","Career Development, Contract Negotiation, International Transfers",2024-09-22,Reilly-Long
Nicholas Hodge,FA5BEEDA98,West Africa,Guinea,"Wilfried Zaha, Percy Tau, Thomas Partey",True,96,85.59,1163255.22,"€17,748,657.31 - Sadio Mané",Revenue-sharing from Transfers,nicholas.hodge@terry.com,+224463920253,4.57,26,"Swahili, Arabic","Career Development, Player Marketing",2024-10-23,Joyce and Sons
Kenneth Lawson,FA2FCED790,Central Africa,Republic of the Congo,"Ali Maâloul, Riyad Mahrez, Chancel Mbemba, Vincent Aboubakar",True,24,91.52,5546685.67,"€21,536,879.01 - Ali Maâloul",Championship Clause Activation,kenneth.lawson@johnson-blake.net,+242340984090,4.91,4,"Swahili, Portuguese, French, Spanish","Career Development, Talent Scouting, Player Marketing",2024-02-28,"Garcia, Stephenson and Baker"
Sarah Clarke,FAB56085F8,Southern Africa,Namibia,"Anis Ben Slimane, Percy Tau, Aymen Dahmen, Victor Osimhen",True,20,68.25,1625945.79,"€12,598,721.79 - Wahbi Khazri",Youth Development Oriented,sarah.clarke@johnson.com,+264239247643,3.71,19,"Swahili, Spanish, Arabic","Talent Scouting, Player Marketing",2024-09-12,"Smith, Nguyen and Nguyen"
Kimberly Turner,FA7C2F283C,West Africa,Ivory Coast,"Sadio Mané, Yassine Bounou, Édouard Mendy, Michael Olunga",False,77,87.62,8864970.62,"€19,505,342.14 - Thomas Partey",Championship Clause Activation,kimberly.turner@mcdonald-rodriguez.com,+225752689364,4.97,28,"Arabic, French","Contract Negotiation, International Transfers, Youth Development",2024-11-27,"Nelson, Galvan and Sullivan"
Helen Davis,FA18A2A4EE,Southern Africa,Namibia,"Aymen Dahmen, Percy Tau, Wilfried Zaha",True,57,94.73,8391074.54,"€16,796,012.53 - Wilfried Zaha",Youth Development Oriented,helen.davis@eaton-white.info,+264529436576,4.38,17,"French, Arabic","Career Development, Contract Negotiation",2024-03-10,Robinson-Bass
David Rodgers,FAB8A9EE86,Southern Africa,Namibia,"Sadio Mané, Youssef Msakni, Percy Tau, Ali Maâloul",False,92,96.24,10332053.52,"€12,853,450.69 - Frank Kessié",Relegation Release Clause,david.rodgers@williams-oneill.info,+264812446049,4.3,26,"French, English, Swahili","Player Marketing, Career Development",2024-11-29,"White, Ramos and Fox"
Laura Williams,FAC6C8A623,West Africa,Ivory Coast,"Aymen Dahmen, Sadio Mané, Kalidou Koulibaly, Mbwana Samatta",False,18,71.9,2533332.42,"€4,484,253.30 - Percy Tau",Long-term Development Focus,laura.williams@richardson-cunningham.info,+225833516811,4.47,28,"French, Arabic, English","International Transfers, Contract Negotiation",2024-08-02,"Ellis, Morgan and Orr"
Janet Robinson,FA4703C395,East Africa,Ethiopia,"Inaki Williams, Wahbi Khazri, Frank Kessié",False,42,95.98,12047806.02,"€20,559,276.51 - Victor Osimhen",Experience-based Scaling,janet.robinson@mcguire.net,+251788381670,4.39,17,"French, Swahili, English, Spanish","Youth Development, Player Marketing",2024-02-27,"Clark, Pineda and Espinoza"
Jeffery Woods,FA500BFEF4,East Africa,Zimbabwe,"Aymen Balbouli, Michael Olunga, Chancel Mbemba",True,66,88.2,9208596.24,"€11,856,210.00 - Seifeddine Jaziri",Buyout Clause Protection,jeffery.woods@taylor.com,+263135944046,4.7,4,"Arabic, Spanish, Portuguese, Swahili","Talent Scouting, International Transfers",2024-10-20,"Blackburn, Wilson and Mueller"
Kayla Mitchell,FA1B37B821,East Africa,Zimbabwe,"Edmond Tapsoba, Ali Maâloul, Percy Tau",False,9,78.2,1033901.17,"€6,692,743.71 - Aymen Dahmen",Championship Clause Activation,kayla.mitchell@stevens.com,+263044836321,4.88,8,"French, Spanish","Career Development, Youth Development",2024-09-03,Mendoza LLC
Danielle Simmons,FA5D450806,West Africa,Senegal,"Édouard Mendy, Yassine Bounou, Wilfried Zaha, Mbwana Samatta",False,70,86.91,13010908.04,"€19,132,277.74 - Samuel Chukwueze",Signing-on Fee Included,danielle.simmons@lewis.com,+221021378661,3.76,18,"English, French, Swahili","Contract Negotiation, International Transfers, Player Marketing",2024-10-27,Hamilton LLC
Kristi Robles,FADF3C162F,Central Africa,Sao Tome and Principe,"Samuel Chukwueze, Edmond Tapsoba",False,92,80.31,3199620.95,"€13,492,778.30 - Wilfried Zaha",Endorsement Deal Integration,kristi.robles@thompson.biz,+000912132921,3.76,4,"Portuguese, Arabic","Contract Negotiation, Youth Development",2024-04-10,"Wright, Sparks and Sullivan"
Patrick Hoffman,FA1A51A260,West Africa,Ghana,"Sadio Mané, Wilfried Zaha, Aymen Balbouli, Anis Ben Slimane",False,33,81.41,5568871.78,"€10,276,182.91 - Seifeddine Jaziri",Performance-based + Image Rights,patrick.hoffman@blake.com,+233284828826,4.63,30,"Arabic, Spanish, Portuguese, English","Youth Development, Player Marketing, International Transfers",2024-09-11,Castro Group
Regina Herring,FA2CA66FBA,Southern Africa,Namibia,"Frank Kessié, Mohamed Salah, Kalidou Koulibaly",False,91,78.57,726169.61,"€18,188,699.44 - Karl Toko Ekambi",Relegation Release Clause,regina.herring@anderson-wilson.com,+264412384516,4.76,12,"Portuguese, Arabic, French","Contract Negotiation, International Transfers",2024-12-16,Rodriguez-Day
Ashley Martinez,FA9D2CCF39,North Africa,Libya,"Inaki Williams, Aymen Dahmen",True,89,60.27,3263248.07,"€20,947,454.41 - Victor Osimhen",Endorsement Deal Integration,ashley.martinez@stephens.biz,+218300254330,3.84,4,"Swahili, French, Portuguese, Arabic","Career Development, International Transfers, Talent Scouting",2024-05-28,George-Jones
Erika Fox,FAF79B85C7,East Africa,Zimbabwe,"Aymen Balbouli, Michael Olunga, André Onana, Édouard Mendy",True,17,65.93,129724.91,"€1,337,402.00 - Frank Kessié",Performance-based + Image Rights,erika.fox@wilson-greene.org,+263598971532,3.69,19,"Portuguese, Arabic, Spanish, French","Contract Negotiation, Youth Development, Career Development",2024-09-21,Knight-Schultz
Wesley Sheppard,FA89FA711F,Central Africa,Republic of the Congo,"Kalidou Koulibaly, Patson Daka",False,65,79.99,3581011.61,"€11,484,918.74 - Youssef Msakni",Sponsorship-linked Earnings,wesley.sheppard@cox.com,+242902271883,4.89,2,"Swahili, Spanish, French, Portuguese","International Transfers, Contract Negotiation",2024-06-09,Rivas-Thompson
Joan Ramirez,FA16094E15,Central Africa,Republic of the Congo,"Sadio Mané, Aymen Dahmen",True,13,60.89,10209811.33,"€17,262,499.51 - Percy Tau",Youth Development Oriented,joan.ramirez@powell.info,+242309556546,4.86,26,"Arabic, Portuguese, Spanish","International Transfers, Youth Development",2024-12-27,Rose-Hansen
Dennis Pham,FA0A87C79D,Central Africa,Republic of the Congo,"Wahbi Khazri, Seifeddine Jaziri, Percy Tau, Sadio Mané",False,89,76.32,12831245.42,"€17,774,463.35 - Achraf Hakimi",Market Value Dependent,dennis.pham@sanders-hartman.net,+242181970367,3.7,17,"Spanish, Portuguese","Player Marketing, Youth Development",2025-01-29,Mccarthy-Wallace
Hannah Luna,FABC75C78A,Central Africa,Democratic Republic of the Congo,"Michael Olunga, Chancel Mbemba, Seifeddine Jaziri",False,10,82.69,13901722.44,"€14,175,389.40 - Ali Maâloul",Relegation Release Clause,hannah.luna@barrera.com,+243508825365,4.91,28,"Portuguese, English, French, Swahili","Youth Development, Player Marketing, Contract Negotiation",2024-04-18,Lucero LLC
Kevin Lee,FA4509889B,West Africa,Cape Verde,"Wahbi Khazri, Thomas Partey, Mbwana Samatta, Yassine Bounou",True,64,60.25,13240185.36,"€16,028,224.11 - Aymen Balbouli",Championship Clause Activation,kevin.lee@lowe.net,+238341432233,4.35,2,"English, Arabic, Swahili","Player Marketing, Youth Development, International Transfers",2025-01-11,Harrison-Walker
Virginia Ware,FA605819C8,North Africa,Algeria,"Anis Ben Slimane, Achraf Hakimi, Victor Osimhen",False,37,67.37,10977147.1,"€16,606,965.02 - Seifeddine Jaziri",Incentive-driven Performance,virginia.ware@velez.com,+213671462060,3.87,22,"French, English","Talent Scouting, Career Development, International Transfers",2024-05-09,Williams-Nguyen
Tiffany Burns,FA0FFC1144,West Africa,Mali,"Ali Maâloul, Michael Olunga, Karl Toko Ekambi",False,77,81.8,9124935.72,"€21,939,385.08 - Anis Ben Slimane",Relegation Release Clause,tiffany.burns@vazquez.com,+223518426028,4.12,13,"Arabic, Portuguese","Career Development, Youth Development",2025-01-04,Barrett-Peterson
Tommy Russo,FAA7C44092,Southern Africa,Eswatini (Swaziland),"Yassine Bounou, Thomas Partey, Aymen Dahmen, Frank Kessié",False,32,89.25,11309516.12,"€13,928,980.48 - Édouard Mendy",Endorsement Deal Integration,tommy.russo@rodriguez-matthews.net,+268967382638,3.8,17,"French, English, Portuguese, Spanish","International Transfers, Youth Development",2024-06-20,Hernandez-Taylor
Kathleen Blair,FA4193EF7A,Southern Africa,Namibia,"Sadio Mané, Chancel Mbemba, Seifeddine Jaziri, Wahbi Khazri",False,90,64.03,11427405.31,"€13,271,484.35 - Frank Kessié",Medical & Injury Coverage,kathleen.blair@duncan.com,+264698680738,4.05,29,"Portuguese, Swahili, Arabic, French","Youth Development, Contract Negotiation, International Transfers",2025-02-11,Wilson-Henry
Thomas Rogers,FA1A1B2726,Southern Africa,South Africa,"Mohamed Salah, Chancel Mbemba, Vincent Aboubakar",False,47,80.62,3213443.29,"€8,664,977.60 - Mohamed Salah",Appearance-based Bonuses,thomas.rogers@nelson-gomez.com,+27278075382,4.9,23,"Portuguese, English, Arabic","Talent Scouting, Player Marketing, Contract Negotiation",2024-09-11,Martinez-Olson
Terrance Cook,FA7343ED5C,Southern Africa,Namibia,"Frank Kessié, Vincent Aboubakar, Victor Osimhen, Thomas Partey",True,53,63.42,256503.14,"€7,743,512.50 - Karl Toko Ekambi",Youth Development Oriented,terrance.cook@watts.biz,+264663857426,4.86,17,"English, Portuguese, Arabic","International Transfers, Contract Negotiation",2024-06-23,"Patterson, Burton and Chase"
Darlene Woodard,FAC9402806,West Africa,Mali,"Yassine Bounou, Ali Maâloul",True,20,95.28,7399263.38,"€13,214,966.51 - Seifeddine Jaziri",Market Value Dependent,darlene.woodard@chen.com,+223582123369,4.07,3,"Spanish, Arabic","Career Development, Contract Negotiation",2024-12-12,Phillips Ltd
Amy Ward,FAD55E3CC2,Southern Africa,Lesotho,"Michael Olunga, André Onana, Chancel Mbemba, Karl Toko Ekambi",False,24,62.19,148193.34,"€14,035,149.68 - Wilfried Zaha",Experience-based Scaling,amy.ward@durham-richards.biz,+266690651673,4.98,20,"Arabic, Spanish","Career Development, Talent Scouting, Contract Negotiation",2024-11-28,"Perez, Morrison and Jennings"
Carlos Rodriguez,FA16F54DCE,West Africa,Burkina Faso,"Achraf Hakimi, Mohamed Salah",False,15,79.5,4230724.4,"€5,041,298.21 - Kalidou Koulibaly",Balanced Terms with Bonuses,carlos.rodriguez@smith.com,+226599185001,3.76,29,"Arabic, Swahili","International Transfers, Player Marketing, Contract Negotiation",2024-09-13,"Chapman, Jacobs and Key"
Brenda Barry,FA63BC71D4,North Africa,Tunisia,"André Onana, Thomas Partey, Kalidou Koulibaly, Inaki Williams",True,46,67.54,6233903.36,"€16,859,332.54 - Aymen Balbouli",Youth Development Oriented,brenda.barry@long-coleman.com,+216903145393,4.39,15,"Arabic, French, Spanish, English","Talent Scouting, Career Development",2024-03-28,"Dickson, Beasley and Brown"
Jennifer Michael,FA13AAA0CB,Central Africa,Chad,"Wilfried Zaha, Yassine Bounou, Percy Tau, Wahbi Khazri",False,52,92.09,4304134.48,"€11,359,674.24 - Edmond Tapsoba",Buyout Clause Protection,jennifer.michael@moreno.com,+235273001280,4.09,3,"Arabic, French, Portuguese, Swahili","Player Marketing, Contract Negotiation, Talent Scouting",2024-06-15,"Dillon, Craig and Boyd"
Karen Kim,FA21246B9C,West Africa,Ghana,"Kalidou Koulibaly, Edmond Tapsoba",True,21,64.62,12432760.87,"€19,983,388.57 - Youssef Msakni",Experience-based Scaling,karen.kim@hernandez-thompson.com,+233603876347,3.93,14,"Spanish, Arabic, Swahili","Talent Scouting, Player Marketing, Career Development",2024-05-08,Cox-Brandt
Kathryn Harding,FA947EE2CA,East Africa,Djibouti,"Samuel Chukwueze, Yassine Bounou, Karl Toko Ekambi, Édouard Mendy",True,45,61.28,7452978.66,"€16,538,923.33 - Inaki Williams",Signing-on Fee Included,kathryn.harding@fisher.org,+253488683879,4.75,12,"Spanish, English","International Transfers, Career Development, Talent Scouting",2024-10-16,Stewart Group
Carolyn Robles,FA1B7B0090,North Africa,Morocco,"Youssef Msakni, Thomas Partey, Riyad Mahrez",False,23,95.99,6889381.15,"€17,758,706.13 - Youssef Msakni",Buyout Clause Protection,carolyn.robles@vazquez-maldonado.com,+212933105636,3.8,18,"Swahili, Portuguese","Youth Development, Player Marketing, Career Development",2024-06-11,"Brock, Perez and Scott"
Tracy Byrd,FAB3C7A99B,West Africa,Niger,"Patson Daka, Inaki Williams, Karl Toko Ekambi",False,53,68.17,13157654.53,"€15,180,944.16 - Wilfried Zaha",Relegation Release Clause,tracy.byrd@lane-christensen.com,+227637699623,4.84,1,"English, Portuguese, Spanish, Arabic","Player Marketing, Career Development",2025-02-07,Owens-Gilbert
Mary Patterson,FA9465323D,North Africa,Egypt,"Michael Olunga, Anis Ben Slimane, Wilfried Zaha",False,42,90.05,3618372.9,"€14,402,017.59 - Édouard Mendy",Market Value Dependent,mary.patterson@ramos-harris.com,+20672387133,3.88,28,"English, Portuguese","Player Marketing, International Transfers, Youth Development",2025-01-11,Carroll-Ellis
Veronica Padilla,FA0455B1B7,East Africa,Seychelles,"Vincent Aboubakar, Victor Osimhen, Kalidou Koulibaly",False,30,84.21,1300320.53,"€6,055,670.12 - Ali Maâloul",Balanced Terms with Bonuses,veronica.padilla@hansen-smith.com,+248743751950,4.04,13,"Portuguese, Arabic, French","Player Marketing, Youth Development",2024-11-25,Miller LLC
Rodney Castaneda,FADEF72EC8,Central Africa,Democratic Republic of the Congo,"Victor Osimhen, Wilfried Zaha, Seifeddine Jaziri, Thomas Partey",False,26,93.04,7463170.12,"€19,760,466.98 - Ali Maâloul",Long-term Development Focus,rodney.castaneda@davila.com,+243864488376,4.01,16,"English, Swahili, Portuguese","Talent Scouting, Youth Development, International Transfers",2024-08-20,Chambers LLC
Chelsea Perry,FA78BA9815,East Africa,Uganda,"Mbwana Samatta, Frank Kessié, Thomas Partey",True,23,92.73,12250236.82,"€16,565,710.40 - Anis Ben Slimane",Loyalty Bonus Included,chelsea.perry@murphy.com,+256113714290,3.98,5,"English, Swahili","Youth Development, Contract Negotiation, Player Marketing",2024-10-28,Powell-Johnson
Robin Lee,FA69EDB3F0,North Africa,Tunisia,"Riyad Mahrez, Patson Daka",False,79,64.52,8279340.1,"€20,140,376.54 - Victor Osimhen",Long-term Development Focus,robin.lee@spencer-montgomery.org,+216079612174,4.66,18,"French, Portuguese","Talent Scouting, Player Marketing, Career Development",2025-01-06,Mason PLC
Matthew Carpenter,FAB3D5069B,West Africa,Mali,"Percy Tau, Ali Maâloul, Frank Kessié",True,83,81.19,13051627.08,"€17,191,528.78 - Percy Tau",No-trade Clause,matthew.carpenter@peterson.com,+223020458203,3.63,20,"English, Spanish, Portuguese, French","Career Development, Player Marketing",2024-09-14,Stewart-Smith
Thomas Vaughan,FABB29BB41,West Africa,Liberia,"Edmond Tapsoba, Kalidou Koulibaly",True,82,68.16,10502334.42,"€11,952,461.17 - Percy Tau",Market Value Dependent,thomas.vaughan@chapman.com,+231745899909,3.73,5,"Arabic, Swahili, Spanish, Portuguese","International Transfers, Player Marketing, Talent Scouting",2024-04-04,Brandt Inc
Stephen Preston,FA20106871,East Africa,Zambia,"Kalidou Koulibaly, Percy Tau",True,69,88.74,11636596.88,"€21,072,335.27 - Michael Olunga",Renewal Option at Club’s Discretion,stephen.preston@rodriguez-browning.info,+260501161002,4.6,16,"Swahili, Portuguese, Arabic","Talent Scouting, International Transfers, Youth Development",2024-08-24,Miller LLC
Pamela Hayden,FA15671D4A,West Africa,Guinea-Bissau,"Wilfried Zaha, Karl Toko Ekambi",True,35,86.72,14082069.23,"€18,506,453.23 - André Onana",Market Value Dependent,pamela.hayden@barrett.biz,+245136095354,4.29,28,"French, English","Contract Negotiation, Career Development",2024-08-26,Ingram Group
Amber Smith,FAC4B43392,Central Africa,Equatorial Guinea,"Samuel Chukwueze, Victor Osimhen, Aymen Balbouli, Mbwana Samatta",False,69,68.05,1262565.61,"€22,455,042.89 - Yassine Bounou",Market Value Dependent,amber.smith@lee-williams.biz,+240542300027,3.76,7,"French, English, Swahili, Portuguese","Contract Negotiation, International Transfers",2025-01-19,Lee Group
Corey Smith,FA3DB0342B,North Africa,Tunisia,"Mohamed Salah, Edmond Tapsoba, Vincent Aboubakar, Riyad Mahrez",False,21,64.31,13335669.73,"€18,733,477.85 - Thomas Partey",Signing-on Fee Included,corey.smith@castro.com,+216290151007,4.6,28,"French, Portuguese, Swahili, English","Youth Development, International Transfers",2025-02-02,"Cobb, Byrd and Navarro"
Julia Hill,FAED7C6D82,North Africa,Western Sahara,"Achraf Hakimi, Vincent Aboubakar, Youssef Msakni",False,19,97.03,6154203.34,"€11,216,560.64 - Michael Olunga",Championship Clause Activation,julia.hill@townsend-blanchard.com,+000136180645,3.52,26,"Spanish, French, Arabic","Talent Scouting, Player Marketing",2024-11-28,"Garcia, Schultz and Hernandez"
Stacy Wolf,FA7CC5AD8B,West Africa,Mali,"Wilfried Zaha, Vincent Aboubakar",False,88,86.96,9108333.06,"€18,288,241.68 - Sadio Mané",Experience-based Scaling,stacy.wolf@gonzalez.org,+223050429068,4.9,19,"Arabic, English, Portuguese","Career Development, Talent Scouting",2024-06-21,Rios Group
