person,function,functionGroup,since,contractUntil,certifications,years_experience,notable_achievements,coaching_philosophy,contact_email,phone_number,profile_rating,availability_status
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-09-21,2025-05-31,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",9,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.9,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-09-21,2027-09-20,"FIFA Management Certificate, Football Management Degree, Sports Administration",16,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.07,False
Augustin Senghor (Senegal),President,Board,2015-09-29,2018-06-29,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.88,False
Moise Katumbi (DR Congo),Chairman,Board,2020-12-05,2023-03-26,Basic Coaching Certificate,14,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.32,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-12-05,2023-05-18,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",7,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.37,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-12-22,2023-02-05,Advanced Tactical Analysis Certificate,12,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.78,True
Mohamed Mansour (Egypt),Owner,Board,2017-11-15,2019-12-06,"Basic Coaching Certificate, Basic Coaching Certificate",21,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.14,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-11-16,2020-04-28,"Basic Coaching Certificate, Basic Coaching Certificate",9,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.1,False
Mohamed Mansour (Egypt),Owner,Board,2020-11-18,2023-03-29,"Basic Coaching Certificate, Basic Coaching Certificate",24,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.67,True
Christopher Samba (Congo),Advisor,Board,2022-08-22,2025-03-20,Basic Coaching Certificate,23,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.61,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-09-21,2022-10-12,"Talent Identification Certificate, Player Analysis",24,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.71,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-10-15,2024-09-20,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.68,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-11-22,2025-03-31,"Advanced Tactical Analysis Certificate, CAF B License",24,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.81,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-09-21,2019-09-13,Basic Coaching Certificate,6,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.27,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-09-21,2021-04-01,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.1,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-08-09,2026-07-31,UEFA Pro License,13,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.87,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-08-09,2023-10-18,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",8,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.65,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-08-01,2025-12-04,UEFA A License,17,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.75,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-11-09,2025-07-31,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",12,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.72,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-08-13,2022-07-31,"Advanced GK Training, UEFA GK A License",21,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.95,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-08-09,2026-07-31,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",23,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.69,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-08-01,2025-04-10,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",11,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-08-01,2027-07-31,"FIFA Management Certificate, Football Management Degree, Sports Administration",19,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.86,True
Augustin Senghor (Senegal),President,Board,2015-08-09,2018-05-09,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",17,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-10-15,2023-02-03,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.25,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-10-15,2023-03-28,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",4,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.19,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-11-01,2022-12-16,Advanced Tactical Analysis Certificate,9,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.61,False
Mohamed Mansour (Egypt),Owner,Board,2017-09-25,2019-10-16,"Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.4,False
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-09-26,2020-03-08,"Basic Coaching Certificate, Basic Coaching Certificate",9,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.48,True
Mohamed Mansour (Egypt),Owner,Board,2020-09-28,2023-02-06,"Basic Coaching Certificate, Basic Coaching Certificate",25,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.67,True
Christopher Samba (Congo),Advisor,Board,2022-07-02,2025-01-28,Basic Coaching Certificate,22,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.5,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-08-01,2022-08-22,"Talent Identification Certificate, Player Analysis",20,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.65,False
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-08-25,2024-07-31,Talent ID License,11,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.84,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-10-02,2025-02-08,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.27,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-08-01,2019-07-24,Basic Coaching Certificate,7,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.06,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-08-01,2021-02-09,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.32,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-09-05,2026-08-27,UEFA Pro License,16,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.87,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-09-05,2023-11-14,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",10,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.7,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-08-28,2025-12-31,UEFA A License,14,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.41,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-12-06,2025-08-27,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",10,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.68,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-09-09,2022-08-27,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.65,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-09-05,2026-08-27,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",25,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.63,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-08-28,2025-05-07,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",9,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.77,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-08-28,2027-08-27,"FIFA Management Certificate, Football Management Degree, Sports Administration",17,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.72,False
Augustin Senghor (Senegal),President,Board,2015-09-05,2018-06-05,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,5.0,True
Moise Katumbi (DR Congo),Chairman,Board,2020-11-11,2023-03-02,Basic Coaching Certificate,11,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,3.9,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-11-11,2023-04-24,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",8,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.23,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-11-28,2023-01-12,Advanced Tactical Analysis Certificate,10,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.51,True
Mohamed Mansour (Egypt),Owner,Board,2017-10-22,2019-11-12,"Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.38,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-10-23,2020-04-04,"Basic Coaching Certificate, Basic Coaching Certificate",8,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.26,True
Mohamed Mansour (Egypt),Owner,Board,2020-10-25,2023-03-05,"Basic Coaching Certificate, Basic Coaching Certificate",25,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2022-07-29,2025-02-24,Basic Coaching Certificate,26,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.67,True
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-08-28,2022-09-18,"Talent Identification Certificate, Player Analysis",20,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,4.94,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-09-21,2024-08-27,Talent ID License,11,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.52,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-10-29,2025-03-07,"Advanced Tactical Analysis Certificate, CAF B License",25,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.8,False
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-08-28,2019-08-20,Basic Coaching Certificate,8,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.5,True
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-08-28,2021-03-08,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,3.95,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2021-03-04,2026-02-23,UEFA Pro License,16,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.89,True
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2021-03-04,2023-05-13,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",10,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,5.0,True
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2023-02-24,2025-06-29,UEFA A License,16,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.84,False
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2024-06-04,2025-02-23,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",9,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.78,False
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2021-03-08,2022-02-23,"Advanced GK Training, UEFA GK A License",21,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.96,False
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2021-03-04,2026-02-23,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",26,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.2,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2022-02-24,2024-11-03,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",10,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,5.0,False
Samuel Eto'o (Cameroon),Sporting Director,Management,2014-02-24,2027-02-23,"FIFA Management Certificate, Football Management Degree, Sports Administration",16,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,3.76,False
Augustin Senghor (Senegal),President,Board,2015-03-04,2017-12-02,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.82,False
Moise Katumbi (DR Congo),Chairman,Board,2020-05-10,2022-08-29,Basic Coaching Certificate,13,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,3.91,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-05-10,2022-10-21,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",6,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,3.96,True
Kolo Touré (Ivory Coast),Assistant Coach,Board,2020-05-27,2022-07-11,Advanced Tactical Analysis Certificate,12,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,4.07,False
Mohamed Mansour (Egypt),Owner,Board,2017-04-20,2019-05-11,"Basic Coaching Certificate, Basic Coaching Certificate",18,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.0,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2017-04-21,2019-10-02,"Basic Coaching Certificate, Basic Coaching Certificate",12,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.16,False
Mohamed Mansour (Egypt),Owner,Board,2020-04-23,2022-09-01,"Basic Coaching Certificate, Basic Coaching Certificate",26,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+27886341248,3.5,True
Christopher Samba (Congo),Advisor,Board,2022-01-25,2024-08-23,Basic Coaching Certificate,25,Professional Excellence Award,"High-intensity, dynamic football",christopher.samba@footballstaff.com,+225266780255,3.77,False
Benni McCarthy (South Africa),Chief Scout,Coaching Staff,2020-02-25,2022-03-17,"Talent Identification Certificate, Player Analysis",21,Scouting Excellence Award,Balance between defense and attack,benni.mccarthy@footballstaff.com,+20643205922,5.0,True
Emmanuel Amunike (Nigeria),Youth Scout,Coaching Staff,2022-03-20,2024-02-24,Talent ID License,10,Youth Development Award,Balance between defense and attack,emmanuel.amunike@footballstaff.com,+212154021818,4.75,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2022-04-27,2024-09-03,"Advanced Tactical Analysis Certificate, CAF B License",23,Development Excellence,Possession-based tactical approach,kolo.touré@footballstaff.com,+225838807554,4.5,True
Charles Kumi Gyamfi (Ghana),Team Coordinator,Coaching Staff,2016-02-25,2019-02-16,Basic Coaching Certificate,4,Professional Excellence Award,Possession-based tactical approach,charles.kumi.gyamfi@footballstaff.com,+212276972298,4.41,False
Stephen Keshi (Nigeria),Team Coordinator,Coaching Staff,2018-02-24,2020-09-04,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",14,Professional Excellence Award,Possession-based tactical approach,stephen.keshi@footballstaff.com,+234488091470,4.21,False
Aliou Cissé (Senegal),Head Coach,Coaching Staff,2022-03-26,2027-03-17,UEFA Pro License,15,African Cup of Nations Winner,"High-intensity, dynamic football",aliou.cissé@footballstaff.com,+27643823114,3.97,False
Quinton Fortune (South Africa),Assistant Coach,Coaching Staff,2022-03-26,2024-06-03,"UEFA A License, CAF B License, Advanced Tactical Analysis Certificate",11,Development Excellence,Attacking football with high pressing,quinton.fortune@footballstaff.com,+212248433987,4.79,False
Rigobert Song (Cameroon),Assistant Coach,Coaching Staff,2024-03-17,2026-07-21,UEFA A License,18,Assistant Coach of the Year,Possession-based tactical approach,rigobert.song@footballstaff.com,+234694271272,4.73,True
Kolo Touré (Ivory Coast),Assistant Coach,Coaching Staff,2025-06-26,2026-03-17,"Advanced Tactical Analysis Certificate, UEFA A License, CAF B License",9,Assistant Coach of the Year,"High-intensity, dynamic football",kolo.touré@footballstaff.com,+225682925163,3.5,True
Badou Zaki (Morocco),Goalkeeper Coach,Coaching Staff,2022-03-30,2023-03-17,"Advanced GK Training, UEFA GK A License",18,Best GK Coach Award,Attacking football with high pressing,badou.zaki@footballstaff.com,+212937125605,3.83,True
Geremi Njitap (Cameroon),Fitness Coach,Coaching Staff,2022-03-26,2027-03-17,"UEFA Strength & Conditioning License, FIFA Fitness Certificate",22,Performance Achievement,"High-intensity, dynamic football",geremi.njitap@footballstaff.com,+234311106788,4.28,False
Ahmed Hassan (Egypt),Video Analyst,Coaching Staff,2023-03-18,2025-11-25,"Performance Analysis Certificate, Match Analysis License, Sports Data Analytics Degree",9,Technical Innovation,Possession-based tactical approach,ahmed.hassan@footballstaff.com,+212440169293,4.74,True
Samuel Eto'o (Cameroon),Sporting Director,Management,2015-03-18,2028-03-16,"FIFA Management Certificate, Football Management Degree, Sports Administration",18,Best Development Program,Traditional African football with modern elements,samuel.eto'o@footballstaff.com,+212470409701,4.09,False
Augustin Senghor (Senegal),President,Board,2016-03-25,2018-12-24,"Basic Coaching Certificate, Basic Coaching Certificate, Basic Coaching Certificate",16,Professional Excellence Award,Possession-based tactical approach,augustin.senghor@footballstaff.com,+234184976412,4.98,False
Moise Katumbi (DR Congo),Chairman,Board,2021-06-01,2023-09-20,Basic Coaching Certificate,12,Professional Excellence Award,Possession-based tactical approach,moise.katumbi@footballstaff.com,+27559201003,4.14,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-06-01,2023-11-12,"CAF B License, Advanced Tactical Analysis Certificate, UEFA A License",6,Technical Achievement,Youth development focus with modern methods,kolo.touré@footballstaff.com,+234226267068,4.06,False
Kolo Touré (Ivory Coast),Assistant Coach,Board,2021-06-18,2023-08-02,Advanced Tactical Analysis Certificate,10,Assistant Coach of the Year,Traditional African football with modern elements,kolo.touré@footballstaff.com,+20350525474,3.62,False
Mohamed Mansour (Egypt),Owner,Board,2018-05-12,2020-06-01,"Basic Coaching Certificate, Basic Coaching Certificate",19,Professional Excellence Award,Possession-based tactical approach,mohamed.mansour@footballstaff.com,+234401720323,4.41,True
Patrice Tlhopane Motsepe (South Africa),Owner,Board,2018-05-13,2020-10-23,"Basic Coaching Certificate, Basic Coaching Certificate",10,Professional Excellence Award,Traditional African football with modern elements,patrice.tlhopane.motsepe@footballstaff.com,+212505751610,4.37,True
